@relation Laubbaum

@attribute Baumgattung {Eiche,Buche,Ahorn,Linde,Kastanie,Esche,Birke,Robinie,Schlehe,Walnuss,Ginkgo,Erle,'gemeine Hasel',Weißdorn}
@attribute 'Blätter - Blattanordnung' {wechselständig,gegenständig}
@attribute 'Blätter - Länge [cm]' numeric
@attribute 'Blätter - Blattaufteilung' {'geteilt (tiefe Einschnitte)','gebuchtet (mittelgroße Einbuchtungen)',ungeteilt}
@attribute 'Blätter - Blattform' {herzförmig,'rund oder eliptisch',dreieckig,fächerförmig,'andere Blattform'}
@attribute 'Blätter - Blattrand' {'relativ glattrandig',gewellt,gezackt,gelappt,gesägt}
@attribute 'Blätter - Blatttyp' {'gefiedert (von einem Blattstiel fingerförmig angeordnete Blätter)','mehrere Blätter am Stiel','ein Blatt pro Stiel'}
@attribute 'Früchte und Blüten - Blüten' {'grün, vor oder mit dem Laubaustrieb','weiß/gelb, klein, nach dem Laubaustrieb','reinweiß, cremefarben in Doldenrispen','weiß, in hängenden Trauben','weiß oder rot, kerzenförmig, nach dem Laubaustrieb','gelb, vor oder mit dem Laubaustrieb','hängende Trauben',Kätzchen,'andere Blüten','keine Blüten zu erkennen'}
@attribute 'Früchte und Blüten - Fruchtfarbe' {schwärzlich/blau,rot,grün/braun}
@attribute 'Früchte und Blüten - Fruchttyp' {Kastanie,'tetraederförmig, braun (Buchecker)','becherförmig grün/braun (Eichel)','Propeller mit Kern','Flügel mit einem Kern','Flügel mit zwei Kernen','abgeflachte Hülsen',zapfenhähnlich,Steinfrucht,Walnuss,kugelig,Haselnuss,'Nussfrucht, häutig geflügelt',Hülsenfrucht,'andere Früchte','keine Früchte zu erkennen'}
@attribute 'Habitus - Beginn der Beblätterung' {'eher mager','sehr dicht (normal)'}
@attribute 'Habitus - Habitusform' {'eher rundlich (normal)','eher pyramidenförmig',strauchartig}
@attribute 'Stamm - Stammfarbe' {grau-braun,braun,'dunkelbraun bis schwarz',weißlich,grau,grün,grau-grün}
@attribute 'Stamm - Stammoberfläche' {rau,schuppig,rissig,tiefrissig,glatt}
@attribute 'Höhe [m]' numeric

@data
Schlehe,wechselständig,4.261038,ungeteilt,'rund oder eliptisch',gesägt,'gefiedert (von einem Blattstiel fingerförmig angeordnete Blätter)','weiß/gelb, klein, nach dem Laubaustrieb',schwärzlich/blau,Steinfrucht,'eher mager','eher rundlich (normal)','dunkelbraun bis schwarz',rau,2.829873
Robinie,wechselständig,19.004219,ungeteilt,'rund oder eliptisch','relativ glattrandig','mehrere Blätter am Stiel','weiß, in hängenden Trauben',grün/braun,Hülsenfrucht,'sehr dicht (normal)',strauchartig,braun,tiefrissig,18.026611
Linde,wechselständig,12.296084,ungeteilt,herzförmig,gesägt,'ein Blatt pro Stiel','weiß/gelb, klein, nach dem Laubaustrieb',grün/braun,'Propeller mit Kern','eher mager','eher pyramidenförmig',grau,rissig,19.578264
Birke,wechselständig,5.690968,'geteilt (tiefe Einschnitte)','andere Blattform',gesägt,'ein Blatt pro Stiel',Kätzchen,grün/braun,'Nussfrucht, häutig geflügelt','sehr dicht (normal)',strauchartig,weißlich,rissig,24.140083
Ginkgo,gegenständig,5.11174,'geteilt (tiefe Einschnitte)',fächerförmig,gelappt,'ein Blatt pro Stiel',Kätzchen,grün/braun,kugelig,'eher mager','eher rundlich (normal)',grau,rissig,27.661378
Ginkgo,wechselständig,5.104055,'gebuchtet (mittelgroße Einbuchtungen)',fächerförmig,gewellt,'ein Blatt pro Stiel',Kätzchen,grün/braun,kugelig,'sehr dicht (normal)',strauchartig,grau,glatt,27.668309
Schlehe,gegenständig,4.123054,ungeteilt,'rund oder eliptisch',gesägt,'gefiedert (von einem Blattstiel fingerförmig angeordnete Blätter)','weiß/gelb, klein, nach dem Laubaustrieb',schwärzlich/blau,Steinfrucht,'eher mager','eher pyramidenförmig',grau-braun,rau,2.585734
Ahorn,gegenständig,3.86519,'geteilt (tiefe Einschnitte)','andere Blattform',gesägt,'ein Blatt pro Stiel','grün, vor oder mit dem Laubaustrieb',grün/braun,'Flügel mit zwei Kernen','eher mager','eher rundlich (normal)',grau-braun,schuppig,23.587283
Erle,gegenständig,6.689336,ungeteilt,'rund oder eliptisch',gesägt,'mehrere Blätter am Stiel',Kätzchen,grün/braun,zapfenhähnlich,'eher mager','eher pyramidenförmig','dunkelbraun bis schwarz',schuppig,33.408885
Ahorn,gegenständig,9.397981,'geteilt (tiefe Einschnitte)','andere Blattform',gesägt,'ein Blatt pro Stiel','gelb, vor oder mit dem Laubaustrieb',grün/braun,'Flügel mit zwei Kernen','eher mager',strauchartig,grau-braun,schuppig,22.984109
Eiche,wechselständig,16.158707,'gebuchtet (mittelgroße Einbuchtungen)','rund oder eliptisch',gewellt,'mehrere Blätter am Stiel',Kätzchen,grün/braun,'becherförmig grün/braun (Eichel)','sehr dicht (normal)','eher rundlich (normal)',grau-braun,rau,34.747791
Eiche,wechselständig,15.81148,'gebuchtet (mittelgroße Einbuchtungen)','andere Blattform',gewellt,'mehrere Blätter am Stiel',Kätzchen,grün/braun,'becherförmig grün/braun (Eichel)','sehr dicht (normal)',strauchartig,grau-braun,rissig,37.000063
Robinie,wechselständig,16.924536,'gebuchtet (mittelgroße Einbuchtungen)',fächerförmig,'relativ glattrandig','ein Blatt pro Stiel','reinweiß, cremefarben in Doldenrispen',grün/braun,Hülsenfrucht,'eher mager',strauchartig,grau-braun,tiefrissig,18.851394
Weißdorn,wechselständig,5.966017,'geteilt (tiefe Einschnitte)','andere Blattform',gelappt,'mehrere Blätter am Stiel','reinweiß, cremefarben in Doldenrispen',rot,kugelig,'sehr dicht (normal)',strauchartig,grün,glatt,4.886224
Linde,wechselständig,13.596182,ungeteilt,herzförmig,gesägt,'ein Blatt pro Stiel','weiß/gelb, klein, nach dem Laubaustrieb',grün/braun,'Propeller mit Kern','eher mager','eher pyramidenförmig',grau,tiefrissig,21.969011
Schlehe,wechselständig,4.338483,ungeteilt,'andere Blattform',gesägt,'gefiedert (von einem Blattstiel fingerförmig angeordnete Blätter)','weiß/gelb, klein, nach dem Laubaustrieb',schwärzlich/blau,kugelig,'eher mager','eher rundlich (normal)','dunkelbraun bis schwarz',schuppig,3.121222
Kastanie,gegenständig,16.218557,ungeteilt,'andere Blattform',gesägt,'gefiedert (von einem Blattstiel fingerförmig angeordnete Blätter)','weiß oder rot, kerzenförmig, nach dem Laubaustrieb',grün/braun,Kastanie,'sehr dicht (normal)','eher pyramidenförmig',grau-braun,schuppig,22.502309
Linde,wechselständig,13.33981,ungeteilt,herzförmig,gesägt,'ein Blatt pro Stiel','weiß/gelb, klein, nach dem Laubaustrieb',grün/braun,'Propeller mit Kern','eher mager','eher pyramidenförmig',grau,tiefrissig,17.700721
Walnuss,wechselständig,7.895588,ungeteilt,'rund oder eliptisch','relativ glattrandig','mehrere Blätter am Stiel',Kätzchen,grün/braun,Walnuss,'eher mager',strauchartig,weißlich,rissig,16.523096
Schlehe,wechselständig,3.943685,ungeteilt,'rund oder eliptisch',gesägt,'mehrere Blätter am Stiel','weiß/gelb, klein, nach dem Laubaustrieb',schwärzlich/blau,kugelig,'eher mager','eher pyramidenförmig','dunkelbraun bis schwarz',rau,3.476263
Weißdorn,wechselständig,4.550273,'geteilt (tiefe Einschnitte)','andere Blattform',gesägt,'mehrere Blätter am Stiel','reinweiß, cremefarben in Doldenrispen',rot,kugelig,'eher mager','eher pyramidenförmig',grün,rissig,3.801462
